At time                    0 ns, A = 1, B = 1, out4 = x
At time                  400 ns, A = 1, B = 1, out5 = 1
At time                  400 ns, A = 0, B = 0, out3 = 0
At time                  400 ns, A = 1, B = 1, out2 = x
At time                  400 ns, A = 0, B = 0, out1 = 1
At time                  400 ns, A = 1, B = 0, out4 = x
At time                  700 ns, A = 0, B = 0, out4 = 1
At time                  800 ns, A = 0, B = 0, out3 = 0
At time                  800 ns, A = 0, B = 0, out2 = 1
At time                  800 ns, A = 0, B = 0, out1 = 0
At time                 1100 ns, A = 0, B = 1, out4 = 1
At time                 1400 ns, A = 0, B = 0, out4 = 0
At time                 1500 ns, A = 0, B = 0, out3 = 0
At time                 1500 ns, A = 0, B = 0, out2 = 0
At time                 1500 ns, A = 0, B = 0, out1 = 0
