At time    2 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time    4 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time    6 ps, CLK=   1, RST=1, D_IN=00000000, MATCH=0 
At time    8 ps, CLK=   1, RST=1, D_IN=00000000, MATCH=0 
At time   10 ps, CLK=   1, RST=1, D_IN=00000000, MATCH=0 
At time   12 ps, CLK=   1, RST=1, D_IN=00000000, MATCH=0 
At time   14 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   16 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   18 ps, CLK=   1, RST=0, D_IN=10101011, MATCH=0 
At time   20 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   22 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   24 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   26 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   28 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   30 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   32 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   34 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   36 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   38 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   40 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   42 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   44 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   46 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   48 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   50 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   52 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   54 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   56 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   58 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   60 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   62 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   64 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   66 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   68 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   70 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   72 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   74 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   76 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   78 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   80 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   82 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   84 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   86 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   88 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   90 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   92 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   94 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time   96 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time   98 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  100 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  102 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  104 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  106 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  108 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  110 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  112 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  114 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  116 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  118 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  120 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  122 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
