At time                    0 ns, TMS=1, TCLK =0, TRST = 1, STATE=xxxx
At time                   25 ns, TMS=1, TCLK =1, TRST = 1, STATE=0000
At time                   50 ns, TMS=1, TCLK =0, TRST = 0, STATE=0000
At time                   75 ns, TMS=1, TCLK =1, TRST = 0, STATE=0001
At time                  100 ns, TMS=0, TCLK =0, TRST = 0, STATE=0001
At time                  125 ns, TMS=0, TCLK =1, TRST = 0, STATE=0001
At time                  150 ns, TMS=1, TCLK =0, TRST = 0, STATE=0001
At time                  175 ns, TMS=1, TCLK =1, TRST = 0, STATE=0010
At time                  200 ns, TMS=0, TCLK =0, TRST = 0, STATE=0010
At time                  225 ns, TMS=0, TCLK =1, TRST = 0, STATE=0011
At time                  250 ns, TMS=0, TCLK =0, TRST = 0, STATE=0011
At time                  275 ns, TMS=0, TCLK =1, TRST = 0, STATE=0100
At time                  300 ns, TMS=1, TCLK =0, TRST = 0, STATE=0100
At time                  325 ns, TMS=1, TCLK =1, TRST = 0, STATE=0101
At time                  350 ns, TMS=0, TCLK =0, TRST = 0, STATE=0101
At time                  375 ns, TMS=0, TCLK =1, TRST = 0, STATE=0110
At time                  400 ns, TMS=1, TCLK =0, TRST = 0, STATE=0110
At time                  425 ns, TMS=1, TCLK =1, TRST = 0, STATE=0111
At time                  450 ns, TMS=1, TCLK =0, TRST = 0, STATE=0111
At time                  475 ns, TMS=1, TCLK =1, TRST = 0, STATE=1000
At time                  500 ns, TMS=0, TCLK =0, TRST = 0, STATE=1000
At time                  525 ns, TMS=0, TCLK =1, TRST = 0, STATE=0001
At time                  550 ns, TMS=0, TCLK =0, TRST = 0, STATE=0001
At time                  575 ns, TMS=0, TCLK =1, TRST = 0, STATE=0001
At time                  600 ns, TMS=1, TCLK =0, TRST = 0, STATE=0001
At time                  625 ns, TMS=1, TCLK =1, TRST = 0, STATE=0010
At time                  650 ns, TMS=1, TCLK =0, TRST = 0, STATE=0010
At time                  675 ns, TMS=1, TCLK =1, TRST = 0, STATE=1001
At time                  700 ns, TMS=0, TCLK =0, TRST = 0, STATE=1001
At time                  725 ns, TMS=0, TCLK =1, TRST = 0, STATE=1010
At time                  750 ns, TMS=0, TCLK =0, TRST = 0, STATE=1010
At time                  775 ns, TMS=0, TCLK =1, TRST = 0, STATE=1011
At time                  800 ns, TMS=1, TCLK =0, TRST = 0, STATE=1011
At time                  825 ns, TMS=1, TCLK =1, TRST = 0, STATE=1100
At time                  850 ns, TMS=0, TCLK =0, TRST = 0, STATE=1100
At time                  875 ns, TMS=0, TCLK =1, TRST = 0, STATE=1101
At time                  900 ns, TMS=1, TCLK =0, TRST = 0, STATE=1101
At time                  925 ns, TMS=1, TCLK =1, TRST = 0, STATE=1110
At time                  950 ns, TMS=1, TCLK =0, TRST = 0, STATE=1110
At time                  975 ns, TMS=1, TCLK =1, TRST = 0, STATE=1111
At time                 1000 ns, TMS=0, TCLK =0, TRST = 0, STATE=1111
At time                 1025 ns, TMS=0, TCLK =1, TRST = 0, STATE=0001
At time                 1050 ns, TMS=1, TCLK =0, TRST = 0, STATE=0001
At time                 1075 ns, TMS=1, TCLK =1, TRST = 0, STATE=0010
At time                 1100 ns, TMS=1, TCLK =0, TRST = 0, STATE=0010
At time                 1125 ns, TMS=1, TCLK =1, TRST = 0, STATE=1001
At time                 1150 ns, TMS=1, TCLK =0, TRST = 0, STATE=1001
At time                 1175 ns, TMS=1, TCLK =1, TRST = 0, STATE=0000
At time                 1200 ns, TMS=1, TCLK =0, TRST = 0, STATE=0000
At time                 1225 ns, TMS=1, TCLK =1, TRST = 0, STATE=0001
